group,midi_file,pitch_histogram_distance,rhythm_diversity,repetition_ratio
random_baseline,random_baseline_1.mid,0.24426497519016266,0.006134969325153374,0.0
random_baseline,random_baseline_2.mid,0.17044317722320557,0.009433962264150943,0.0
random_baseline,random_baseline_3.mid,0.23554222285747528,0.006329113924050633,0.0
random_baseline,random_baseline_4.mid,0.24422776699066162,0.006389776357827476,0.0
random_baseline,random_baseline_5.mid,0.1503152847290039,0.006097560975609756,0.0
markov_baseline,markov_baseline_1.mid,0.20957621932029724,0.08108108108108109,0.0
markov_baseline,markov_baseline_2.mid,0.15208300948143005,0.09848484848484848,0.0
markov_baseline,markov_baseline_3.mid,0.3283156454563141,0.12149532710280374,0.0
markov_baseline,markov_baseline_4.mid,0.2634612023830414,0.0948905109489051,0.0
markov_baseline,markov_baseline_5.mid,0.13932624459266663,0.088,0.016
task1_autoencoder,task1_ae_sample_1.mid,0.12916073203086853,0.011363636363636364,1.0
task1_autoencoder,task1_ae_sample_2.mid,0.12916073203086853,0.011363636363636364,1.0
task1_autoencoder,task1_ae_sample_3.mid,0.12916073203086853,0.011363636363636364,1.0
task1_autoencoder,task1_ae_sample_4.mid,0.12916073203086853,0.011363636363636364,1.0
task1_autoencoder,task1_ae_sample_5.mid,0.12916073203086853,0.011363636363636364,1.0
task2_vae,task2_vae_sample_1.mid,0.8101810812950134,0.3902439024390244,0.16
task2_vae,task2_vae_sample_2.mid,0.8026108145713806,0.4782608695652174,0.2
task2_vae,task2_vae_sample_3.mid,0.37028607726097107,0.41379310344827586,0.12
task2_vae,task2_vae_sample_4.mid,0.7236807346343994,0.47058823529411764,0.312
task2_vae,task2_vae_sample_5.mid,0.588207483291626,0.4576271186440678,0.1693548387096774
task2_vae,task2_vae_sample_6.mid,0.43798407912254333,0.5128205128205128,0.248
task2_vae,task2_vae_sample_7.mid,0.45707598328590393,0.3088235294117647,0.072
task2_vae,task2_vae_sample_8.mid,0.5040563941001892,0.30120481927710846,0.13709677419354838
task3_transformer,task3_transformer_sample_1.mid,0.6353782415390015,0.11278195488721804,0.11023622047244094
task3_transformer,task3_transformer_sample_10.mid,0.44455617666244507,0.16312056737588654,0.11428571428571428
task3_transformer,task3_transformer_sample_2.mid,0.6636162996292114,0.2033898305084746,0.17647058823529413
task3_transformer,task3_transformer_sample_3.mid,0.6218843460083008,0.1310344827586207,0.16759776536312848
task3_transformer,task3_transformer_sample_4.mid,0.6994571685791016,0.15217391304347827,0.10077519379844961
task3_transformer,task3_transformer_sample_5.mid,0.9420976638793945,0.11695906432748537,0.24
task3_transformer,task3_transformer_sample_6.mid,1.076941967010498,0.2807017543859649,0.5034013605442177
task3_transformer,task3_transformer_sample_7.mid,0.7375898957252502,0.1282051282051282,0.15625
task3_transformer,task3_transformer_sample_8.mid,0.8187524080276489,0.0658682634730539,0.24528301886792453
task3_transformer,task3_transformer_sample_9.mid,0.6939156651496887,0.17757009345794392,0.4838709677419355
