pair_id,before_sample_id,after_sample_id,before_mean_human_score,after_mean_human_score,improvement
sample_01,before_rl_01,after_rl_01,3.5,3.7058823529411766,0.20588235294117663
sample_02,before_rl_02,after_rl_02,3.111111111111111,4.0,0.8888888888888888
sample_03,before_rl_03,after_rl_03,3.8333333333333335,3.882352941176471,0.049019607843137525
sample_04,before_rl_04,after_rl_04,4.0,4.411764705882353,0.41176470588235325
sample_05,before_rl_05,after_rl_05,3.8333333333333335,4.117647058823529,0.2843137254901955
sample_06,before_rl_06,after_rl_06,3.6666666666666665,4.0588235294117645,0.392156862745098
sample_07,before_rl_07,after_rl_07,3.2777777777777777,3.823529411764706,0.5457516339869284
sample_08,before_rl_08,after_rl_08,3.7777777777777777,3.941176470588236,0.16339869281045827
sample_09,before_rl_09,after_rl_09,3.7222222222222223,4.0,0.2777777777777777
sample_10,before_rl_10,after_rl_10,4.333333333333333,4.0,-0.33333333333333304
